编号,名称,助记词,邮编,病人来源
440105009,广东省广州市海珠区龙凤街道@,gdsgzsbyqjhjd,510250,医院所在市的外区（县）
440105010,广东省广州市海珠区沙园街道@,gdsgzsbyqjhjd,510250,医院所在市的外区（县）
440105011,广东省广州市海珠区南石头街道@,gdsgzsbyqsjjd,510280,医院所在市的外区（县）
440105012,广东省广州市海珠区凤阳街道@,gdsgzsbyqjsjd,510250,医院所在市的外区（县）
440105013,广东省广州市海珠区瑞宝街道@,gdsgzsbyqycjd,510399,医院所在市的外区（县）
440105014,广东省广州市海珠区江海街道@,gdsgzsbyqhljd,510260,医院所在市的外区（县）
440105015,广东省广州市海珠区琶洲街道@,gdsgzsbyqbyhjd,510335,医院所在市的外区（县）
440105016,广东省广州市海珠区南洲街道@,gdsgzsbyqsmjd,510288,医院所在市的外区（县）
440105017,广东省广州市海珠区华洲街道@,gdsgzsbyqrhz,510320,医院所在市的外区（县）
440105018,广东省广州市海珠区官洲街道@,gdsgzsbyqthz,510330,医院所在市的外区（县）
440106000,广东省广州市天河区@,gdsgzsbyqzltz,510630,医院所在市的外区（县）
440106001,广东省广州市天河区五山街道@,gdsgzsbyqjgz,510640,医院所在市的外区（县）
440106002,广东省广州市天河区员村街道@,gdsgzshpq,510655,医院所在市的外区（县）
440106003,广东省广州市天河区车陂街道@,gdsgzshpqhpjd,510660,医院所在市的外区（县）
440106004,广东省广州市天河区沙河街道@,gdsgzshpqhsjd,510599,医院所在市的外区（县）
440106006,广东省广州市天河区石牌街道@,gdsgzshpqyzjd,510635,医院所在市的外区（县）
440106007,广东省广州市天河区沙东街道@,gdsgzshpqdsjd,510599,医院所在市的外区（县）
440106008,广东省广州市天河区天河南街道@,gdsgzshpqwcjd,510620,医院所在市的外区（县）
440106009,广东省广州市天河区林和街道@,gdsgzshpqsdjd,510610,医院所在市的外区（县）
440106010,广东省广州市天河区兴华街道@,gdsgzshpqngjd,510507,医院所在市的外区（县）
440106011,广东省广州市天河区棠下街道@,gdsgzshpqzzjd,510665,医院所在市的外区（县）
440106012,广东省广州市天河区天园街道@,gdsgzshpqxgjd,510665,医院所在市的外区（县）
440106013,广东省广州市天河区猎德街道@,gdsgzshpqlgjd,510627,医院所在市的外区（县）
440106014,广东省广州市天河区冼村街道@,gdsgzshpqlhjd,510623,医院所在市的外区（县）
440106015,广东省广州市天河区元岗街道@,gdsgzshpqyhjd,511442,医院所在市的外区（县）
440106016,广东省广州市天河区黄村街道@,gdsgzshpqzljd,510660,医院所在市的外区（县）
440106017,广东省广州市天河区凤凰街道@,gdsgzshpqypjd,510445,医院所在市的外区（县）
440106018,广东省广州市天河区龙洞街道@,gdsgzshpqjlz,510520,医院所在市的外区（县）
440106019,广东省广州市天河区长兴街道@,gdsgzsfyq,510623,医院所在市的外区（县）
440106020,广东省广州市天河区前进街道@,gdsgzsfyqswjd,510660,医院所在市的外区（县）
440106021,广东省广州市天河区珠吉街道@,gdsgzsfyqzcjd,510715,医院所在市的外区（县）
440106022,广东省广州市天河区新塘街道@,gdsgzsfyqdsjd,510653,医院所在市的外区（县）
440111000,广东省广州市白云区@,gdsgzsfyqsqjd,510080,医院所在市的外区（县）
440111002,广东省广州市白云区三元里街道@,gdsgzsfyqstjd,510080,医院所在市的外区（县）
440111003,广东省广州市白云区松洲街道@,gdsgzsfyqdhjd,510435,医院所在市的外区（县）
440111004,广东省广州市白云区景泰街道@,gdsgzsfyqqnjd,510091,医院所在市的外区（县）
440111005,广东省广州市白云区同德街道@,gdsgzsfyqxgwjd,510407,医院所在市的外区（县）
440111006,广东省广州市白云区黄石街道@,gdsgzsfyqlpjd,510410,医院所在市的外区（县）
440111007,广东省广州市白云区棠景街道@,gdsgzsfyqsbjd,510403,医院所在市的外区（县）
440111008,广东省广州市白云区新市街道@,gdsgzsfyqdljd,510410,医院所在市的外区（县）
440111009,广东省广州市白云区同和街道@,gdsgzsfyqsqz,510515,医院所在市的外区（县）
440111010,广东省广州市白云区京溪街道@,gdsgzsfyqncz,510510,医院所在市的外区（县）
440111011,广东省广州市白云区永平街道@,gdsgzsfyqxzz,510442,医院所在市的外区（县）
440111012,广东省广州市白云区嘉禾街道@,gdsgzsfyqhlz,510440,医院所在市的外区（县）
440111013,广东省广州市白云区均禾街道@,gdsgzsfyqslz,510440,医院所在市的外区（县）
440111014,广东省广州市白云区石井街道@,gdsgzshdq,510430,医院所在市的外区（县）
440111015,广东省广州市白云区金沙街道@,gdsgzshdqxhjd,510320,医院所在市的外区（县）
440111016,广东省广州市白云区云城街道@,gdsgzshdqxyjd,510410,医院所在市的外区（县）
440111017,广东省广州市白云区鹤龙街道@,gdsgzshdqhcjd,510425,医院所在市的外区（县）
440111018,广东省广州市白云区白云湖街道@,gdsgzshdqxqjd,510080,医院所在市的外区（县）
440111019,广东省广州市白云区石门街道@,gdsgzshdqtmz,510430,医院所在市的外区（县）
440111020,广东省广州市白云区龙归街道@,gdsgzshdqhsz,510440,医院所在市的外区（县）
440111021,广东省广州市白云区大源街道@,gdsgzshdqhdz,510450,医院所在市的外区（县）
440111103,广东省广州市白云区人和镇@,gdsgzshdqtbz,510470,医院所在市的外区（县）
440111107,广东省广州市白云区太和镇@,gdsgzshdqcnz,510540,医院所在市的外区（县）
440111108,广东省广州市白云区钟落潭镇@,gdsgzshdqslz,510550,医院所在市的外区（县）
440111113,广东省广州市白云区江高镇@,gdsgzsnsq,510450,医院所在市的外区（县）
440112000,广东省广州市黄埔区@,gdsgzsnsqnsjd,510700,医院所在市的外区（县）
440112001,广东省广州市黄埔区黄埔街道@,gdsgzsnsqzjjd,510799,医院所在市的外区（县）
440112002,广东省广州市黄埔区红山街道@,gdsgzsnsqlxjd,510725,医院所在市的外区（县）
440112003,广东省广州市黄埔区鱼珠街道@,gdsgzsnsqhlz,510799,医院所在市的外区（县）
440112005,广东省广州市黄埔区大沙街道@,gdsgzsnsqwqsz,510140,医院所在市的外区（县）
440112006,广东省广州市黄埔区文冲街道@,gdsgzsnsqhgz,510725,医院所在市的外区（县）
440112007,广东省广州市黄埔区穗东街道@,gdsgzsnsqdyz,510730,医院所在市的外区（县）
440112008,广东省广州市黄埔区南岗街道@,gdsgzsnsqdgz,510450,医院所在市的外区（县）
440112010,广东省广州市黄埔区长洲街道@,gdsgzsnsqlhz,510715,医院所在市的外区（县）
440112011,广东省广州市黄埔区夏港街道@,gdsgzschq,510730,医院所在市的外区（县）
440112012,广东省广州市黄埔区萝岗街道@,gdsgzschqjkjd,510530,医院所在市的外区（县）
440112014,广东省广州市黄埔区联和街道@,gdsgzschqcjjd,510663,医院所在市的外区（县）
440112015,广东省广州市黄埔区永和街道@,gdsgzschqjpjd,510530,医院所在市的外区（县）
440112016,广东省广州市黄埔区长岭街道@,gdsgzschqwqz,510530,医院所在市的外区（县）
440112017,广东省广州市黄埔区云埔街道@,gdsgzschqlkz,510760,医院所在市的外区（县）
440112100,广东省广州市黄埔区九龙镇@,gdsgzschqltz,510555,医院所在市的外区（县）
440113000,广东省广州市番禺区@,gdsgzschqtpz,511400,医院所在市的外区（县）
440113002,广东省广州市番禺区沙湾街道@,gdsgzschqatz,511483,医院所在市的外区（县）
440113003,广东省广州市番禺区钟村街道@,gdsgzszcq,511495,医院所在市的外区（县）
440113004,广东省广州市番禺区大石街道@,gdsgzszcqlcjd,511430,医院所在市的外区（县）
440113005,广东省广州市番禺区市桥街道@,gdsgzszcqzjjd,511491,医院所在市的外区（县）
440113006,广东省广州市番禺区沙头街道@,gdsgzszcqzcjd,511491,医院所在市的外区（县）
440113007,广东省广州市番禺区东环街道@,gdsgzszcqynjd,511400,医院所在市的外区（县）
440113008,广东省广州市番禺区桥南街道@,gdsgzszcqzgz,511488,医院所在市的外区（县）
440113009,广东省广州市番禺区小谷围街道@,gdsgzszcqstz,511436,医院所在市的外区（县）
440113010,广东省广州市番禺区洛浦街道@,gdsgzszcqxtz,511458,医院所在市的外区（县）
440113011,广东省广州市番禺区石壁街道@,gdsgzszcqzxz,511495,医院所在市的外区（县）
440113012,广东省广州市番禺区大龙街道@,gdsgzszcqptz,511450,医院所在市的外区（县）
440113102,广东省广州市番禺区石碁镇@,gdsgzszcqxlz,511450,医院所在市的外区（县）
440113103,广东省广州市番禺区南村镇@,gdsgzszcqxcz,511442,医院所在市的外区（县）
440113104,广东省广州市番禺区新造镇@,gdssgswjq,511436,医院所在市的外区（县）
440113105,广东省广州市番禺区化龙镇@,gdssgswjqxhjd,511434,医院所在市的外区（县）
440113106,广东省广州市番禺区石楼镇@,gdssgswjqhmjd,511441,医院所在市的外区（县）
440114000,广东省广州市花都区@,gdssgswjqxlz,510800,医院所在市的外区（县）
440114001,广东省广州市花都区新华街道@,gdssgswjqxhz,510800,医院所在市的外区（县）
440114002,广东省广州市花都区新雅街道@,gdssgswjqzyz,510806,医院所在市的外区（县）
440114003,广东省广州市花都区花城街道@,gdssgswjqlgz,510800,医院所在市的外区（县）
440114004,广东省广州市花都区秀全街道@,gdssgswjqjwz,510897,医院所在市的外区（县）
440114103,广东省广州市花都区梯面镇@,gdssgszjq,510870,医院所在市的外区（县）
440114104,广东省广州市花都区花山镇@,gdssgszjqdhjd,510880,医院所在市的外区（县）
440114105,广东省广州市花都区花东镇@,gdssgszjqczjd,510890,医院所在市的外区（县）
440114107,广东省广州市花都区炭步镇@,gdssgszjqfcjd,510820,医院所在市的外区（县）
440114108,广东省广州市花都区赤坭镇@,gdssgszjqxsz,510130,医院所在市的外区（县）
440114109,广东省广州市花都区狮岭镇@,gdssgszjqlyz,510850,医院所在市的外区（县）
440115000,广东省广州市南沙区@,gdssgszjqhpz,511400,医院所在市的外区（县）
440115001,广东省广州市南沙区南沙街道@,gdssgszjqlsz,511458,医院所在市的外区（县）
440115002,广东省广州市南沙区珠江街道@,gdssgszjqsltz,511466,医院所在市的外区（县）
440115003,广东省广州市南沙区龙穴街道@,gdssgsqjq,511464,医院所在市的外区（县）
440115101,广东省广州市南沙区横沥镇@,gdssgsqjqssjd,511466,医院所在市的外区（县）
440115102,广东省广州市南沙区万顷沙镇@,gdssgsqjqmbz,511462,医院所在市的外区（县）
440115103,广东省广州市南沙区黄阁镇@,gdssgsqjqdtz,511455,医院所在市的外区（县）
440115104,广东省广州市南沙区东涌镇@,gdssgsqjqfwz,511453,医院所在市的外区（县）
440115105,广东省广州市南沙区大岗镇@,gdssgsqjqxkz,511470,医院所在市的外区（县）
440115106,广东省广州市南沙区榄核镇@,gdssgsqjqsxz,511480,医院所在市的外区（县）
440117000,广东省广州市从化区@,gdssgsqjqwsz,510900,医院所在市的外区（县）
440117001,广东省广州市从化区街口街道@,gdssgsqjqzsz,510999,医院所在市的外区（县）
440117002,广东省广州市从化区城郊街道@,gdssgsqjqbtz,510920,医院所在市的外区（县）
440117003,广东省广州市从化区江埔街道@,gdssgsqjqlkz,510999,医院所在市的外区（县）
440117100,广东省广州市从化区温泉镇@,gdssgssxx,510970,医院所在市的外区（县）
440117101,广东省广州市从化区良口镇@,gdssgssxxtpz,510665,医院所在市的外区（县）
440117102,广东省广州市从化区吕田镇@,gdssgssxxmsz,510950,医院所在市的外区（县）
440117103,广东省广州市从化区太平镇@,gdssgssxxcjz,510990,医院所在市的外区（县）
440117104,广东省广州市从化区鳌头镇@,gdssgssxxdgz,510940,医院所在市的外区（县）
440118000,广东省广州市增城区@,gdssgssxxlbz,511300,医院所在市的外区（县）
440118001,广东省广州市增城区荔城街道@,gdssgssxxsqz,511399,医院所在市的外区（县）
440118002,广东省广州市增城区增江街道@,gdssgssxxazz,511316,医院所在市的外区（县）
440118003,广东省广州市增城区朱村街道@,gdssgssxxcnz,511370,医院所在市的外区（县）
440118004,广东省广州市增城区永宁街道@,gdssgssxxssz,511356,医院所在市的外区（县）
440118100,广东省广州市增城区正果镇@,gdssgssxxsdsyzx,511390,医院所在市的外区（县）
440118101,广东省广州市增城区石滩镇@,gdssgsrhx,511325,医院所在市的外区（县）
440118102,广东省广州市增城区新塘镇@,gdssgsrhxdxjd,511340,医院所在市的外区（县）
440118103,广东省广州市增城区中新镇@,gdssgsrhxwsz,511365,医院所在市的外区（县）
440118104,广东省广州市增城区派潭镇@,gdssgsrhxfxz,511385,医院所在市的外区（县）
440118105,广东省广州市增城区小楼镇@,gdssgsrhxzjz,511396,医院所在市的外区（县）
440118106,广东省广州市增城区仙村镇@,gdssgsrhxckz,511462,医院所在市的外区（县）
440203000,广东省韶关市武江区@,gdssgsrhxhsz,512026,本省其他市
440203001,广东省韶关市武江区新华街道@,gdssgsrhxstz,512026,本省其他市
440203002,广东省韶关市武江区惠民街道@,gdssgsrhxdtz,512026,本省其他市
440203100,广东省韶关市武江区西联镇@,gdssgsrhxhkz,512026,本省其他市
440203101,广东省韶关市武江区西河镇@,gdssgsrhxztz,512026,本省其他市
440203102,广东省韶关市武江区重阳镇@,gdssgsrhxdqz,512026,本省其他市
440203103,广东省韶关市武江区龙归镇@,gdssgswyx,512026,本省其他市
440203104,广东省韶关市武江区江湾镇@,gdssgswyxlxz,512026,本省其他市
440204000,广东省韶关市浈江区@,gdssgswyxbzz,512023,本省其他市
440204001,广东省韶关市浈江区东河街道@,gdssgswyxjwz,512023,本省其他市
440204002,广东省韶关市浈江区车站街道@,gdssgswyxgdz,512023,本省其他市
440204006,广东省韶关市浈江区风采街道@,gdssgswyxzpz,512023,本省其他市
440204100,广东省韶关市浈江区新韶镇@,gdssgswyxwcz,512023,本省其他市
440204101,广东省韶关市浈江区乐园镇@,gdssgswyxxjz,512023,本省其他市
440204102,广东省韶关市浈江区花坪镇@,gdssgsryyzzzx,512023,本省其他市
440204103,广东省韶关市浈江区犁市镇@,gdssgsryyzzzxrcz,512023,本省其他市
440204104,广东省韶关市浈江区十里亭镇@,gdssgsryyzzzxylz,512023,本省其他市
440205000,广东省韶关市曲江区@,gdssgsryyzzzxgtz,512100,本省其他市
440205001,广东省韶关市曲江区松山街道@,gdssgsryyzzzxlyz,512100,本省其他市
440205100,广东省韶关市曲江区马坝镇@,gdssgsryyzzzxdbz,512100,本省其他市
440205103,广东省韶关市曲江区大塘镇@,gdssgsryyzzzxdqz,512100,本省其他市
440205104,广东省韶关市曲江区枫湾镇@,gdssgsryyzzzxdpz,512100,本省其他市
440205105,广东省韶关市曲江区小坑镇@,gdssgsryyzzzxyxz,512100,本省其他市
440205106,广东省韶关市曲江区沙溪镇@,gdssgsryyzzzxbbz,512100,本省其他市
440205108,广东省韶关市曲江区乌石镇@,gdssgsxfx,512100,本省其他市
440205109,广东省韶关市曲江区樟市镇@,gdssgsxfxfcjd,512100,本省其他市
440205110,广东省韶关市曲江区白土镇@,gdssgsxfxhqz,512100,本省其他市
440205119,广东省韶关市曲江区罗坑镇@,gdssgsxfxmtz,512100,本省其他市
440222000,广东省韶关市始兴县@,gdssgsxfxmkz,512500,本省其他市
440222100,广东省韶关市始兴县太平镇@,gdssgsxfxstz,512500,本省其他市
440222101,广东省韶关市始兴县马市镇@,gdssgsxfxytz,512500,本省其他市
440222102,广东省韶关市始兴县澄江镇@,gdssgsxfxhlz,512500,本省其他市
440222103,广东省韶关市始兴县顿岗镇@,gdssgslcs,512500,本省其他市
440222104,广东省韶关市始兴县罗坝镇@,gdssgslcslcjd,512500,本省其他市
440222105,广东省韶关市始兴县司前镇@,gdssgslcsbxz,512500,本省其他市
440222106,广东省韶关市始兴县隘子镇@,gdssgslcsjfz,512500,本省其他市
440222107,广东省韶关市始兴县城南镇@,gdssgslcsltz,512500,本省其他市
440222108,广东省韶关市始兴县沈所镇@,gdssgslcszlz,512500,本省其他市
440222203,广东省韶关市始兴县深渡水瑶族乡@,gdssgslcsmhz,512500,本省其他市
440224000,广东省韶关市仁化县@,gdssgslcssxz,512300,本省其他市
440224001,广东省韶关市仁化县丹霞街道@,gdssgslcspsz,512300,本省其他市
440224102,广东省韶关市仁化县闻韶镇@,gdssgslcshpz,512300,本省其他市
440224103,广东省韶关市仁化县扶溪镇@,gdssgslcswsz,512300,本省其他市
440224104,广东省韶关市仁化县长江镇@,gdssgslcsljz,512300,本省其他市
440224105,广东省韶关市仁化县城口镇@,gdssgslcsspz,512300,本省其他市
440224106,广东省韶关市仁化县红山镇@,gdssgslcsyyz,512300,本省其他市
440224107,广东省韶关市仁化县石塘镇@,gdssgslcsxsz,512300,本省其他市
440224108,广东省韶关市仁化县董塘镇@,gdssgslcsdyz,512300,本省其他市
440224109,广东省韶关市仁化县黄坑镇@,gdssgslcsqyz,512300,本省其他市
440224110,广东省韶关市仁化县周田镇@,gdssgslcsbsz,512300,本省其他市
440224111,广东省韶关市仁化县大桥镇@,gdssgsnxs,512300,本省其他市
440229000,广东省韶关市翁源县@,gdssgsnxsxzjd,512600,本省其他市
440229100,广东省韶关市翁源县龙仙镇@,gdssgsnxswjz,512600,本省其他市
440229104,广东省韶关市翁源县坝仔镇@,gdssgsnxsjzz,512600,本省其他市
440229106,广东省韶关市翁源县江尾镇@,gdssgsnxsptz,512600,本省其他市
440229109,广东省韶关市翁源县官渡镇@,gdssgsnxshkz,512600,本省其他市
440229111,广东省韶关市翁源县周陂镇@,gdssgsnxsdfz,512600,本省其他市
440229113,广东省韶关市翁源县翁城镇@,gdssgsnxsysz,512600,本省其他市
440229114,广东省韶关市翁源县新江镇@,gdssgsnxsnmz,512600,本省其他市
440232000,广东省韶关市乳源瑶族自治县@,gdssgsnxsskz,512600,本省其他市
440232100,广东省韶关市乳源瑶族自治县乳城镇@,gdssgsnxsjtz,512600,本省其他市
440232103,广东省韶关市乳源瑶族自治县一六镇@,gdssgsnxshkz,512600,本省其他市
440232104,广东省韶关市乳源瑶族自治县桂头镇@,gdssgsnxszjz,512600,本省其他市
440232106,广东省韶关市乳源瑶族自治县洛阳镇@,gdssgsnxsztz,512600,本省其他市
440232108,广东省韶关市乳源瑶族自治县大布镇@,gdssgsnxsgsz,512600,本省其他市
440232109,广东省韶关市乳源瑶族自治县大桥镇@,gdssgsnxsqaz,512600,本省其他市
440232111,广东省韶关市乳源瑶族自治县东坪镇@,gdssgsnxsbsz,512600,本省其他市
440232112,广东省韶关市乳源瑶族自治县游溪镇@,gdssgsnxslhz,512600,本省其他市
440232113,广东省韶关市乳源瑶族自治县必背镇@,gdssgsnxsmzfz,512600,本省其他市
440233000,广东省韶关市新丰县@,gdsszslhq,511100,本省其他市
440233001,广东省韶关市新丰县丰城街道@,gdsszslhqgyjd,511100,本省其他市
440233101,广东省韶关市新丰县黄磜镇@,gdsszslhqhbjd,511100,本省其他市
440233102,广东省韶关市新丰县马头镇@,gdsszslhqdmjd,511100,本省其他市
440233103,广东省韶关市新丰县梅坑镇@,gdsszslhqczjd,511100,本省其他市
440233104,广东省韶关市新丰县沙田镇@,gdsszslhqnhjd,511100,本省其他市
440233105,广东省韶关市新丰县遥田镇@,gdsszslhqsgjd,511100,本省其他市
440233106,广东省韶关市新丰县回龙镇@,gdsszslhqdhjd,511100,本省其他市
440281000,广东省韶关市乐昌市@,gdsszslhqltjd,512200,本省其他市
440281001,广东省韶关市乐昌市乐城街道@,gdsszslhqdxjd,512200,本省其他市
440281102,广东省韶关市乐昌市北乡镇@,gdsszslhqqshjd,512200,本省其他市
440281103,广东省韶关市乐昌市九峰镇@,gdsszsftq,512200,本省其他市
440281104,广东省韶关市乐昌市廊田镇@,gdsszsftqnyjd,512200,本省其他市
440281105,广东省韶关市乐昌市长来镇@,gdsszsftqyljd,512200,本省其他市
440281106,广东省韶关市乐昌市梅花镇@,gdsszsftqftjd,512200,本省其他市
440281107,广东省韶关市乐昌市三溪镇@,gdsszsftqstjd,512200,本省其他市
440281108,广东省韶关市乐昌市坪石镇@,gdsszsftqxmhjd,512200,本省其他市
440281110,广东省韶关市乐昌市黄圃镇@,gdsszsftqmljd,512200,本省其他市
440281111,广东省韶关市乐昌市五山镇@,gdsszsftqlhjd,512200,本省其他市
440281112,广东省韶关市乐昌市两江镇@,gdsszsftqhfjd,512200,本省其他市
440281113,广东省韶关市乐昌市沙坪镇@,gdsszsftqhqbjd,512200,本省其他市
440281114,广东省韶关市乐昌市云岩镇@,gdsszsftqfbjd,512200,本省其他市
440281115,广东省韶关市乐昌市秀水镇@,gdsszsnsq,512200,本省其他市
440281117,广东省韶关市乐昌市大源镇@,gdsszsnsqntjd,512200,本省其他市
440281118,广东省韶关市乐昌市庆云镇@,gdsszsnsqnsjd,512200,本省其他市
440281119,广东省韶关市乐昌市白石镇@,gdsszsnsqshjd,512200,本省其他市
440282000,广东省韶关市南雄市@,gdsszsnsqskjd,512400,本省其他市
440282001,广东省韶关市南雄市雄州街道@,gdsszsnsqzsjd,512400,本省其他市
440282100,广东省韶关市南雄市乌迳镇@,gdsszsnsqyhjd,512400,本省其他市
440282103,广东省韶关市南雄市界址镇@,gdsszsnsqtyjd,512400,本省其他市
440282104,广东省韶关市南雄市坪田镇@,gdsszsnsqxljd,512400,本省其他市
440282105,广东省韶关市南雄市黄坑镇@,gdsszsbaq,512400,本省其他市
440282106,广东省韶关市南雄市邓坊镇@,gdsszsbaqxajd,512400,本省其他市
440282107,广东省韶关市南雄市油山镇@,gdsszsbaqxxjd,512400,本省其他市
440282109,广东省韶关市南雄市南亩镇@,gdsszsbaqfyjd,512400,本省其他市
440282110,广东省韶关市南雄市水口镇@,gdsszsbaqsjjd,512400,本省其他市
440282111,广东省韶关市南雄市江头镇@,gdsszsbaqsgjd,512400,本省其他市
440282112,广东省韶关市南雄市湖口镇@,gdsszsbaqsyjd,512400,本省其他市
440282113,广东省韶关市南雄市珠玑镇@,gdsszsbaqhcjd,512400,本省其他市
440282115,广东省韶关市南雄市主田镇@,gdsszsbaqfhjd,512400,本省其他市
440282116,广东省韶关市南雄市古市镇@,gdsszsbaqxqjd,512400,本省其他市
440282118,广东省韶关市南雄市全安镇@,gdsszsbaqyljd,512400,本省其他市
440282120,广东省韶关市南雄市百顺镇@,gdsszslgq,512400,本省其他市
440282121,广东省韶关市南雄市澜河镇@,gdsszslgqhgjd,512400,本省其他市
440282122,广东省韶关市南雄市帽子峰镇@,gdsszslgqbjjd,512400,本省其他市
440303000,广东省深圳市罗湖区@,gdsszslgqkyjd,518001,本省其他市
440303001,广东省深圳市罗湖区桂园街道@,gdsszslgqdpjd,518001,本省其他市
440303002,广东省深圳市罗湖区黄贝街道@,gdsszslgqnajd,518001,本省其他市
440303003,广东省深圳市罗湖区东门街道@,gdsszslgqphjd,518001,本省其他市
440303004,广东省深圳市罗湖区翠竹街道@,gdsszslgqpdjd,518001,本省其他市
440303005,广东省深圳市罗湖区南湖街道@,gdsszslgqlgjd,518001,本省其他市
440303006,广东省深圳市罗湖区笋岗街道@,gdsszslgqlcjd,518001,本省其他市
